EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,Technology,MANAGER_ID,DEPARTMENT_ID
119,Karen,Colmenares,KCOLMENA@gmail.com,515.127.4566,10-Aug-07,PU_CLERK,2500,word,114,30
120,Matthew,Weiss,MWEISS@gmail.com,650.123.1234,18-Jul-04,ST_MAN,8000,word,100,50
121,Adam,Fripp,AFRIPP@gmail.com,650.123.2234,10-Apr-05,ST_MAN,8200,word,100,50
122,Payam,Kaufling,PKAUFLIN@gmail.com,650.123.3234,01-May-03,ST_MAN,7900,word,100,50
123,Shanta,Vollman,SVOLLMAN@gmail.com,650.123.4234,10-Oct-05,ST_MAN,6500,word,100,50
124,Kevin,Mourgos,KMOURGOS@gmail.com,650.123.5234,16-Nov-07,ST_MAN,5800,excel,100,50
125,Julia,Nayer,JNAYER@gmail.com,650.124.1214,16-Jul-05,ST_CLERK,3200,excel,120,50
126,Irene,Mikkilineni,IMIKKILI@gmail.com,650.124.1224,28-Sep-06,ST_CLERK,2700,excel,120,50
127,James,Landry,JLANDRY@gmail.com,650.124.1334,14-Jan-07,ST_CLERK,2400,excel,120,50
128,Steven,Markle,SMARKLE@gmail.com,650.124.1434,08-Mar-08,ST_CLERK,2200,excel,120,50
129,Laura,Bissot,LBISSOT@gmail.com,650.124.5234,20-Aug-05,ST_CLERK,3300,excel,121,50
130,Mozhe,Atkinson,MATKINSO@gmail.com,650.124.6234,30-Oct-05,ST_CLERK,2800,excel,121,50
131,James,Marlow,JAMRLOW@gmail.com,650.124.7234,16-Feb-05,ST_CLERK,2500,excel,121,50
132,TJ,Olson,TJOLSON@gmail.com,650.124.8234,10-Apr-07,ST_CLERK,2100,excel,121,50
133,Jason,Mallin,JMALLIN@gmail.com,650.127.1934,14-Jun-04,ST_CLERK,3300,excel,122,50
134,Michael,Rogers,MROGERS@gmail.com,650.127.1834,26-Aug-06,ST_CLERK,2900,excel,122,50
135,Ki,Gee,KGEE@gmail.com,650.127.1734,12-Dec-07,ST_CLERK,2400,excel,122,50
136,Hazel,Philtanker,HPHILTAN@gmail.com,650.127.1634,06-Feb-08,ST_CLERK,2200,excel,122,50
137,Renske,Ladwig,RLADWIG@gmail.com,650.121.1234,14-Jul-03,ST_CLERK,3600,excel,123,50
138,Stephen,Stiles,SSTILES@gmail.com,650.121.2034,26-Oct-05,ST_CLERK,3200,excel,123,50
139,John,Seo,JSEO@gmail.com,650.121.2019,12-Feb-06,ST_CLERK,2700,excel,123,50
140,Joshua,Patel,JPATEL@gmail.com,650.121.1834,06-Apr-06,ST_CLERK,2500,excel,123,50
160,aditya,kurapati,kurapatiaditya7@gmail.com,09492501134,06-Apr-06,ST_CLERK,2500,word,444,555
200,ritika,marlapalli,marla@gmail.com,456484564,2023-05-19,ST_CLERK,6661,word,555,544
250,ragh,huuu,huol@gmail.com,9392921811,9877-09-09,223
177,naidu,naidu,naidu@gmail.com,8827187311,7273-07-07,7727
180,aditya,adutya,aditya@gmail.co,382748923,7777-07-07,777
nam,adi,tya,adi@gmail.com,948328211,18881-08-08,992
111,rrr,yyy,ryury@gmail.com,4648946588,444-555-555,787
8872,nanna,nanna,nanna@gmail.com,837828781,8888-08-08,88
999,"travis ",scott,travis@gmail.com,973289183,7777-07-07,77328
asjd,jksldfj,sdjflk,jjj@gmail.com,7987099,99999-09-09,3471-9
666,yenka,anna,annay@gmail.com,79382919,8888-08-08,723847,,,,
6773,kurraaa,paati,kurraapari@gmail.con,738247982,2003-04-19,783,9999999,word,88327,7372
7328,hugh,jackman,hugh@gmail.com,7328299,8888-08-08,73288,7382729,word,87892,232928
666,kurraaa,paati,kurraapari@gmail.con,738247982,8888-08-31,sad,99,word,151,35
7772,nnnan,nnnnaa,n@gmail.com,838292,8888-08-08,7328,89372498,powerpoint,732849,93287498
